x, y,x, y
185.4304636,4.35471E-06,185.4304636,4.35471E-06
622.5165563,1.12827E-05,635.7615894,9.89707E-06
1549.668874,2.019E-05,1576.15894,1.52415E-05
2556.291391,2.7118E-05,2543.046358,1.76168E-05
3509.933775,3.26603E-05,3496.688742,1.92003E-05
4423.84106,3.78068E-05,4463.576159,2.05859E-05
5390.728477,4.31512E-05,5496.688742,2.15756E-05
6384.10596,4.88915E-05,6503.311258,2.27633E-05
7364.238411,5.44339E-05,7443.708609,2.33571E-05
8304.635762,5.91845E-05,8397.350993,2.43468E-05
9125.827815,6.37371E-05,9350.993377,2.51386E-05
10000,6.82898E-05,10000,2.57324E-05
