x, y,x,y,x,y
205.6807052,50.14018692,205.6807052,50.65420561,195.8863859,51.12149533
910.8716944,50.98130841,920.6660137,52.24299065,881.4887365,53.41121495
1616.062684,52.00934579,1714.005877,53.73831776,1586.679726,55.14018692
2321.253673,52.94392523,2497.55142,55.18691589,2291.870715,56.68224299
3016.650343,53.87850467,3261.508325,56.44859813,2997.061704,58.27102804
3721.841332,54.76635514,4015.670911,57.6635514,3692.458374,59.53271028
4417.238002,55.60747664,4779.627816,58.73831776,4397.649363,60.8411215
5122.428991,56.44859813,5465.230167,59.71962617,5093.046033,62.00934579
5817.825661,57.24299065,6160.626836,60.70093458,5778.648384,63.13084112
6513.222331,57.94392523,6924.583741,61.68224299,6483.839373,64.25233645
7247.796278,58.73831776,7668.952008,62.61682243,7198.824682,65.37383178
7952.987267,59.43925234,8442.703232,63.55140187,7904.015671,66.40186916
8658.178257,60.18691589,9216.454456,64.39252336,8609.20666,67.38317757
9314.397649,60.74766355,10000,65.23364486,9314.397649,68.27102804
10000,61.40186916,,,10000,69.20560748
